   x,   v
  0.0000,  0.00000
  0.0078,  0.01255
  0.0156,  0.02448
  0.0234,  0.03577
  0.0312,  0.04646
  0.0391,  0.05654
  0.0469,  0.06604
  0.0547,  0.07497
  0.0625,  0.08334
  0.0703,  0.09117
  0.0781,  0.09848
  0.0859,  0.10529
  0.0938,  0.11161
  0.1016,  0.11746
  0.1094,  0.12286
  0.1172,  0.12782
  0.1250,  0.13238
  0.1328,  0.13653
  0.1406,  0.14030
  0.1484,  0.14371
  0.1562,  0.14677
  0.1641,  0.14950
  0.1719,  0.15191
  0.1797,  0.15401
  0.1875,  0.15582
  0.1953,  0.15735
  0.2031,  0.15862
  0.2109,  0.15963
  0.2188,  0.16039
  0.2266,  0.16091
  0.2344,  0.16120
  0.2422,  0.16127
  0.2500,  0.16113
  0.2578,  0.16077
  0.2656,  0.16021
  0.2734,  0.15945
  0.2812,  0.15849
  0.2891,  0.15734
  0.2969,  0.15600
  0.3047,  0.15447
  0.3125,  0.15275
  0.3203,  0.15085
  0.3281,  0.14876
  0.3359,  0.14649
  0.3438,  0.14404
  0.3516,  0.14140
  0.3594,  0.13857
  0.3672,  0.13556
  0.3750,  0.13236
  0.3828,  0.12897
  0.3906,  0.12539
  0.3984,  0.12162
  0.4062,  0.11766
  0.4141,  0.11350
  0.4219,  0.10915
  0.4297,  0.10460
  0.4375,  0.09985
  0.4453,  0.09490
  0.4531,  0.08975
  0.4609,  0.08440
  0.4688,  0.07885
  0.4766,  0.07309
  0.4844,  0.06713
  0.4922,  0.06097
  0.5000,  0.05460
  0.5078,  0.04804
  0.5156,  0.04128
  0.5234,  0.03432
  0.5312,  0.02717
  0.5391,  0.01982
  0.5469,  0.01230
  0.5547,  0.00459
  0.5625,  -0.00328
  0.5703,  -0.01133
  0.5781,  -0.01953
  0.5859,  -0.02788
  0.5938,  -0.03636
  0.6016,  -0.04497
  0.6094,  -0.05368
  0.6172,  -0.06250
  0.6250,  -0.07138
  0.6328,  -0.08033
  0.6406,  -0.08932
  0.6484,  -0.09832
  0.6562,  -0.10731
  0.6641,  -0.11627
  0.6719,  -0.12516
  0.6797,  -0.13395
  0.6875,  -0.14262
  0.6953,  -0.15112
  0.7031,  -0.15942
  0.7109,  -0.16747
  0.7188,  -0.17525
  0.7266,  -0.18270
  0.7344,  -0.18978
  0.7422,  -0.19644
  0.7500,  -0.20263
  0.7578,  -0.20832
  0.7656,  -0.21344
  0.7734,  -0.21795
  0.7812,  -0.22180
  0.7891,  -0.22494
  0.7969,  -0.22734
  0.8047,  -0.22894
  0.8125,  -0.22971
  0.8203,  -0.22961
  0.8281,  -0.22862
  0.8359,  -0.22669
  0.8438,  -0.22382
  0.8516,  -0.22000
  0.8594,  -0.21520
  0.8672,  -0.20944
  0.8750,  -0.20272
  0.8828,  -0.19507
  0.8906,  -0.18649
  0.8984,  -0.17703
  0.9062,  -0.16673
  0.9141,  -0.15562
  0.9219,  -0.14378
  0.9297,  -0.13126
  0.9375,  -0.11812
  0.9453,  -0.10443
  0.9531,  -0.09028
  0.9609,  -0.07574
  0.9688,  -0.06089
  0.9766,  -0.04581
  0.9844,  -0.03058
  0.9922,  -0.01528
  1.0000,  0.00000
